Unnamed: 0,SeriousDlqin2yrs,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome,NumberOfDependents
143,0,43,0,0.257282,0,0,6968.0,0.0
144,1,33,0,0.286417,1,0,5079.0,0.0
145,0,46,0,0.188362,0,0,3333.0,0.0
146,1,31,0,0.0,2,0,1600.0,0.0
148,0,84,0,0.266361,0,0,4583.0,0.0
149,1,43,4,0.553965,3,0,4400.0,2.0
150,0,68,1,0.543491,0,0,5000.0,0.0
153,1,29,0,0.219772,0,1,2720.0,2.0
155,0,27,0,0.149328,0,0,3200.0,0.0
157,1,50,98,0.0,98,98,1350.0,0.0
158,0,63,0,0.445764,0,0,1852.0,0.0
159,0,74,0,0.478595,0,0,7147.0,0.0
160,0,42,0,0.423238,0,0,7900.0,1.0
161,0,49,0,0.25068,0,0,6250.0,0.0
163,1,24,0,0.048207,0,0,1700.0,0.0
164,1,44,0,0.790549,0,0,4549.0,1.0
165,1,49,2,0.305137,1,1,7163.0,3.0
166,1,48,5,0.158286,0,1,6999.0,3.0
167,0,69,0,0.010181,0,0,11000.0,1.0
168,0,32,0,0.10189,0,0,10000.0,0.0
169,0,44,1,0.149424,0,0,7200.0,3.0
170,0,38,1,0.243279,0,0,4500.0,3.0
171,1,27,0,0.0,0,0,2400.0,1.0
173,0,69,0,0.024198,0,0,1900.0,0.0
175,0,61,0,0.440384,0,0,4377.0,0.0
176,0,55,1,0.509176,0,0,2560.0,0.0
177,0,49,1,0.002399,0,0,2500.0,0.0
178,0,25,0,0.123251,0,0,1500.0,0.0
180,0,53,0,0.360451,0,0,4166.0,0.0
181,0,26,98,0.0,98,98,2000.0,0.0
182,0,77,0,0.001824,0,0,10416.0,0.0
184,0,33,0,0.308527,0,0,7000.0,1.0
185,1,60,1,0.238381,0,0,12500.0,0.0
186,0,34,0,0.000225,0,0,8888.0,1.0
187,1,49,1,0.473607,0,1,6800.0,2.0
188,0,41,0,306.5,0,0,1.0,4.0
189,0,55,0,0.563525,0,0,7374.0,1.0
190,0,61,0,0.35037,0,0,23400.0,1.0
191,0,82,0,0.376161,0,0,3120.0,0.0
192,1,26,1,0.354411,1,5,4000.0,0.0
194,0,54,0,0.182733,0,0,7250.0,1.0
195,0,87,0,0.52861,0,0,1100.0,0.0
196,0,27,0,0.291491,0,0,4500.0,1.0
197,0,56,0,0.224964,0,0,6200.0,1.0
198,0,50,1,0.316222,0,0,8999.0,2.0
199,0,36,0,0.006663,0,0,1800.0,1.0
200,0,31,1,0.106322,0,0,15800.0,1.0
201,0,54,0,0.839161,0,0,1000.0,0.0
202,1,66,0,0.001196,0,1,9200.0,0.0
203,0,62,1,0.550064,0,0,7000.0,0.0
205,0,34,0,3.391073,0,0,1500.0,0.0
207,0,32,0,0.95314,0,0,3200.0,1.0
209,0,57,0,0.14397,0,0,11036.0,0.0
210,0,34,0,0.127145,0,0,6000.0,3.0
211,0,60,1,0.469081,1,1,4915.0,1.0
213,0,29,1,0.221656,0,0,3333.0,0.0
214,0,70,0,1470.0,0,0,1.0,1.0
215,0,50,1,0.357898,0,0,3785.0,1.0
216,1,42,1,0.716269,7,0,1800.0,0.0
217,0,35,0,0.309972,0,0,11000.0,1.0
218,1,47,2,0.13566,4,0,5100.0,2.0
219,0,53,0,0.661533,0,0,2726.0,3.0
220,1,50,6,0.772234,3,2,10962.0,4.0
221,0,29,0,0.171254,0,0,4250.0,0.0
222,1,54,0,0.012332,0,1,2756.0,0.0
223,1,35,1,1.533713,0,0,2105.0,2.0
224,0,43,0,0.102297,0,0,4134.0,4.0
226,1,71,0,0.785251,0,0,7701.0,1.0
227,0,58,0,0.485874,0,0,8600.0,0.0
229,0,54,0,0.044866,0,0,45000.0,0.0
230,1,33,1,0.242217,1,0,3500.0,0.0
231,0,42,0,0.065848,0,0,7000.0,0.0
232,0,35,0,0.160199,0,0,3813.0,3.0
233,0,63,0,0.063249,0,0,5343.0,0.0
234,1,60,0,0.275266,3,0,2255.0,0.0
235,0,51,0,0.363818,0,0,2000.0,0.0
236,1,36,2,0.277455,3,1,3960.0,2.0
237,0,55,0,0.32607,0,0,3900.0,0.0
238,1,27,0,0.153156,0,0,3120.0,0.0
239,0,71,0,0.213993,0,0,5116.0,0.0
240,1,43,2,0.634815,0,0,5870.0,4.0
241,0,63,0,0.290697,0,0,12500.0,0.0
242,1,45,4,1.929208,1,1,2019.0,0.0
244,1,49,1,0.594605,1,0,5300.0,3.0
245,0,38,0,0.274496,0,0,5500.0,0.0
246,0,41,0,0.024673,0,0,2066.0,0.0
247,1,57,0,0.971566,0,0,5415.0,0.0
249,0,63,0,0.832056,0,0,3000.0,0.0
252,0,42,0,0.777623,0,0,5040.0,2.0
253,0,34,1,0.40294,1,1,4625.0,0.0
254,0,55,1,0.339282,0,0,13000.0,2.0
255,1,49,4,0.386367,0,0,7862.0,2.0
256,0,76,0,0.013994,0,0,2500.0,0.0
257,1,40,0,0.30966,0,0,45000.0,1.0
258,0,56,1,0.054732,0,0,8166.0,0.0
259,0,76,0,0.439122,0,0,500.0,0.0
260,1,38,0,0.0,0,0,1000.0,1.0
261,0,68,1,0.289893,0,0,7350.0,0.0
262,0,62,0,0.35081,0,0,7838.0,0.0
263,0,53,0,0.71991,0,0,5333.0,1.0
264,0,42,0,0.797626,0,0,1600.0,0.0
266,0,57,0,0.157574,0,0,4600.0,1.0
267,0,27,0,12.5,0,0,7.0,0.0
268,0,33,0,0.063587,0,0,5000.0,0.0
269,0,57,0,0.59336,0,0,2800.0,0.0
270,1,61,2,0.354113,3,0,6175.0,0.0
271,0,59,0,0.903209,1,0,1900.0,0.0
272,0,51,0,0.929395,0,0,4333.0,2.0
273,1,33,0,0.237012,0,0,4176.0,0.0
274,1,42,2,0.603777,0,0,5400.0,2.0
275,0,46,0,0.330977,0,0,9900.0,2.0
276,1,60,1,2.646128,1,2,1200.0,2.0
277,0,32,0,0.104661,0,0,4633.0,1.0
278,0,47,2,0.728263,0,0,4772.0,2.0
279,1,37,0,0.215627,0,0,22000.0,2.0
280,0,69,0,0.148885,0,0,10000.0,0.0
281,1,40,1,0.31095,0,0,4958.0,1.0
283,1,51,2,1.068515,0,1,3750.0,0.0
284,1,38,0,0.975806,0,0,2975.0,0.0
285,1,43,0,0.969556,0,0,4072.0,0.0
286,1,26,0,1.92392,0,0,1550.0,0.0
287,0,32,0,0.229787,0,0,2584.0,4.0
288,0,64,0,0.207159,0,0,5000.0,0.0
289,0,64,0,0.307615,0,0,6000.0,3.0
290,1,43,0,0.417264,0,0,6000.0,0.0
291,1,55,1,0.563908,0,0,3950.0,0.0
292,1,60,0,0.417733,0,0,8830.0,0.0
294,0,38,0,0.186241,0,0,6700.0,0.0
295,1,38,1,0.023324,0,0,2400.0,2.0
297,0,32,0,0.600966,2,1,6006.0,1.0
298,0,29,0,0.164292,0,0,3438.0,1.0
299,1,35,2,0.793259,1,2,2877.0,0.0
300,0,46,0,0.278322,0,0,9700.0,1.0
301,1,28,2,0.270332,1,0,2200.0,0.0
305,0,51,1,0.496417,0,0,6000.0,3.0
306,1,45,0,0.138312,0,0,8046.0,2.0
307,0,54,0,0.409892,0,0,3800.0,2.0
308,0,72,0,0.387594,0,0,2401.0,0.0
310,0,74,0,0.208185,0,0,5326.0,1.0
311,1,35,1,0.426429,0,0,6666.0,2.0
313,0,53,1,0.879524,0,0,4365.0,2.0
314,0,33,0,0.345219,0,0,6954.0,2.0
315,1,60,1,0.104137,1,0,4253.0,0.0
316,1,54,0,0.402727,0,0,4620.0,2.0
317,0,52,0,0.396259,0,1,5720.0,0.0
318,0,57,0,0.123084,0,0,13632.0,0.0
319,0,73,0,536.0,0,0,0.0,1.0
321,0,27,0,0.078051,0,0,4432.0,0.0
322,1,33,0,0.26994,0,0,4500.0,3.0
323,1,32,6,0.919081,0,1,1000.0,0.0
324,0,76,0,0.009198,0,0,5435.0,0.0
325,0,59,0,0.17921,0,0,5088.0,0.0
326,0,54,0,0.783522,0,0,5473.0,3.0
327,0,27,0,0.052393,0,0,7500.0,0.0
328,1,25,1,0.270758,0,2,3600.0,1.0
329,0,54,0,0.243839,0,0,9616.0,1.0
330,1,42,1,0.083564,1,0,3254.0,4.0
331,1,44,1,0.356858,0,0,750.0,0.0
332,0,44,0,0.837454,0,0,4933.0,0.0
333,0,26,0,0.132747,0,0,2500.0,0.0
334,1,41,0,0.233278,3,1,4200.0,2.0
335,0,59,0,0.505888,0,0,4500.0,1.0
338,1,44,0,0.350548,0,0,3833.0,0.0
339,1,30,0,0.15367,2,1,3500.0,0.0
340,0,30,0,0.253045,0,0,5417.0,2.0
341,1,31,1,0.275977,0,2,3300.0,2.0
342,1,59,2,0.000769,1,0,2600.0,0.0
344,1,61,3,0.656664,0,2,4831.0,0.0
345,0,47,0,0.689211,0,0,3104.0,0.0
346,0,76,0,0.00312,0,0,4166.0,0.0
347,1,38,0,0.284777,1,0,7166.0,0.0
348,0,51,0,0.258196,0,0,7350.0,2.0
349,1,49,0,0.649902,0,0,21533.0,0.0
350,0,28,0,0.121581,0,0,6250.0,0.0
351,0,39,0,0.26534,0,0,5377.0,1.0
352,1,59,0,0.400037,0,0,5416.0,0.0
354,1,31,3,0.735934,4,0,2665.0,0.0
355,0,51,0,0.136402,0,0,10600.0,2.0
357,1,59,0,0.453567,1,0,5200.0,0.0
358,1,45,1,0.423548,2,2,5800.0,0.0
359,1,59,1,0.223787,1,1,5893.0,1.0
360,0,50,0,0.418763,0,0,2941.0,0.0
361,0,59,0,0.0,0,0,5416.0,0.0
362,1,42,0,0.145175,0,0,2279.0,3.0
363,0,42,0,0.65455,0,0,4208.0,0.0
365,0,49,0,0.147971,0,0,3770.0,0.0
366,1,50,0,0.795703,0,0,10890.0,0.0
368,0,62,0,0.54527,0,0,12833.0,0.0
369,0,64,0,0.35113,0,0,5000.0,0.0
370,0,25,0,0.0,0,0,850.0,0.0
371,0,42,0,0.416226,0,0,7000.0,1.0
372,1,56,1,0.87953,0,1,4166.0,2.0
373,0,43,0,2.153559,0,0,3750.0,2.0
374,0,55,0,0.246135,0,0,9766.0,1.0
375,0,41,0,0.17496,0,0,10750.0,3.0
376,0,55,0,0.45211,0,0,5000.0,0.0
377,0,67,2,0.759262,0,0,7800.0,2.0
378,0,55,0,1.023302,0,0,4505.0,0.0
379,0,75,1,0.505867,0,0,2300.0,0.0
380,1,62,1,0.056441,2,1,3135.0,0.0
381,0,32,0,0.412867,1,1,1600.0,4.0
382,0,78,0,0.014397,0,0,5000.0,0.0
383,0,57,0,0.491146,0,0,8583.0,0.0
385,1,57,2,0.509574,1,1,4595.0,1.0
387,1,49,1,0.071451,4,1,3162.0,0.0
389,0,38,0,0.55427,0,0,7259.0,1.0
390,0,55,0,0.701323,0,0,5443.0,0.0
391,0,31,0,0.588401,0,0,8500.0,0.0
392,0,27,2,0.070807,0,0,4250.0,1.0
394,0,37,0,0.374126,0,0,4861.0,2.0
395,0,51,0,0.356153,0,0,7361.0,2.0
396,1,60,6,0.682264,0,0,5000.0,0.0
397,1,54,2,1.196498,0,0,7480.0,2.0
399,0,21,0,0.0,0,0,1.0,0.0
400,0,49,0,0.133397,0,1,8335.0,1.0
401,0,43,0,0.230635,0,0,13800.0,2.0
402,1,40,0,2.688124,0,0,900.0,3.0
403,0,64,0,0.137954,0,0,3000.0,0.0
404,0,57,0,0.299089,0,0,6034.0,1.0
405,0,42,0,0.683063,0,0,5000.0,2.0
406,1,41,6,0.506275,0,0,7250.0,3.0
407,0,56,0,0.006817,0,0,2786.0,0.0
409,0,50,0,0.297461,0,0,10750.0,2.0
412,1,58,0,0.410528,0,0,6800.0,0.0
413,0,33,0,0.030296,0,0,8515.0,0.0
415,0,55,0,0.374363,0,0,10000.0,1.0
416,1,67,1,1.523252,0,0,3160.0,0.0
417,0,38,1,0.362213,1,1,3000.0,0.0
418,1,47,0,0.313666,2,1,3270.0,2.0
419,0,51,0,0.33449,0,0,6914.0,2.0
420,1,35,2,0.364641,0,0,3800.0,0.0
421,1,61,0,1.732326,0,0,2050.0,0.0
422,1,62,0,0.153019,0,0,7900.0,0.0
423,1,59,0,1.168944,0,0,3000.0,1.0
424,1,37,0,0.268284,0,0,8900.0,3.0
425,1,42,1,1.131103,0,0,2600.0,2.0
426,1,42,0,0.393144,1,0,7350.0,1.0
427,0,49,0,0.413862,0,0,12450.0,2.0
428,1,42,0,0.714066,0,0,1300.0,2.0
429,1,50,3,0.191404,0,0,2000.0,3.0
430,1,36,2,0.394921,0,1,5000.0,2.0
431,1,32,2,0.638593,0,0,3383.0,1.0
432,0,60,0,0.198522,2,0,10416.0,2.0
434,0,73,0,0.006498,0,0,4000.0,0.0
435,0,60,0,0.267183,0,0,18200.0,0.0
436,1,31,0,0.145906,0,0,2857.0,0.0
437,1,49,1,0.253484,0,0,5380.0,2.0
438,0,61,0,0.0025,0,0,10000.0,1.0
439,1,58,0,0.414729,0,0,6666.0,0.0
440,0,49,2,0.026403,0,0,3900.0,0.0
441,0,78,0,0.262785,0,0,4516.0,0.0
442,0,41,0,0.321686,0,0,9300.0,0.0
443,1,26,0,0.1204,0,0,2200.0,0.0
444,1,60,0,0.148305,0,0,5427.0,1.0
445,1,63,1,0.106072,2,0,5467.0,0.0
446,1,47,0,0.221206,2,0,5573.0,2.0
447,1,42,2,0.581884,0,0,5000.0,0.0
448,0,37,0,0.513795,0,0,9314.0,0.0
449,0,54,0,0.260895,0,0,12000.0,2.0
450,0,59,0,0.423551,0,1,3243.0,0.0
451,0,74,0,0.279016,0,0,1300.0,0.0
453,0,31,0,0.309669,0,0,10000.0,0.0
454,0,53,0,0.572932,1,0,5984.0,1.0
456,1,54,0,0.375436,0,0,4583.0,1.0
457,0,48,0,0.446548,0,0,3750.0,0.0
458,0,69,0,0.008855,0,0,3500.0,0.0
460,1,55,0,0.151988,1,0,13000.0,1.0
461,0,50,0,0.251479,0,0,12000.0,1.0
462,1,50,1,0.162361,1,0,10334.0,3.0
463,0,49,0,0.256432,0,0,4741.0,1.0
464,0,52,0,0.014993,0,0,2000.0,0.0
465,0,34,0,0.248242,0,0,6400.0,0.0
466,1,47,1,1.813375,0,1,4500.0,3.0
467,0,46,0,0.292123,0,0,7667.0,2.0
468,1,34,0,0.95902,0,0,2000.0,0.0
469,1,37,0,0.005691,0,0,6500.0,0.0
470,0,31,0,0.004197,1,0,2620.0,2.0
471,1,23,0,0.02114,1,1,1560.0,0.0
472,0,35,1,0.202949,0,0,4000.0,0.0
473,0,64,0,0.004832,0,0,5587.0,0.0
475,1,46,1,0.768675,2,1,3600.0,3.0
476,0,84,0,0.114952,0,0,2400.0,0.0
478,1,43,1,0.696328,0,0,5663.0,0.0
481,1,68,1,0.342754,0,0,7500.0,0.0
482,0,39,0,0.203597,0,0,9228.0,0.0
484,1,74,0,0.68048,0,0,5501.0,0.0
486,1,71,0,2.022939,0,0,2571.0,0.0
488,1,22,1,0.174377,1,1,280.0,0.0
489,1,49,0,0.000174,0,0,11482.0,0.0
491,0,50,0,0.412147,0,0,4000.0,0.0
492,1,60,0,0.01444,0,0,3600.0,0.0
493,0,48,0,0.302169,0,0,16000.0,6.0
494,0,62,0,0.755401,0,0,6340.0,0.0
496,0,36,0,0.39063,0,0,20000.0,1.0
497,1,70,0,0.542768,0,0,4500.0,0.0
498,1,48,2,0.488993,0,0,11083.0,1.0
499,0,63,0,0.535137,0,0,3770.0,0.0
500,0,44,0,0.603306,0,0,3750.0,1.0
501,0,40,0,0.306837,0,0,8000.0,2.0
502,0,40,1,0.365017,0,1,5333.0,0.0
503,0,69,0,0.099525,0,0,8208.0,1.0
505,0,58,1,0.648035,0,0,10000.0,2.0
506,0,84,0,0.0,0,0,0.0,0.0
507,0,72,0,0.0,0,0,2500.0,0.0
508,0,31,0,0.024993,1,1,3600.0,3.0
509,0,57,0,0.275041,0,0,11710.0,0.0
510,0,75,0,0.067854,0,0,2077.0,0.0
511,0,44,0,0.468529,0,0,2970.0,0.0
512,1,46,1,0.831764,4,2,2335.0,3.0
514,0,63,1,0.268207,0,1,7139.0,1.0
515,1,50,3,0.141472,0,2,3300.0,3.0
516,1,41,0,0.167653,0,0,1520.0,0.0
517,0,62,0,0.192841,0,0,5698.0,0.0
518,0,64,0,0.106271,0,0,10491.0,0.0
519,0,33,0,0.376808,0,0,8916.0,1.0
520,1,85,0,0.141183,0,0,5800.0,0.0
521,1,39,1,0.191606,0,0,5646.0,3.0
522,0,55,0,0.413673,0,0,11774.0,0.0
523,1,59,1,0.360049,0,0,10667.0,0.0
525,0,39,0,0.131313,0,0,7820.0,3.0
526,1,39,2,0.1243,1,0,1785.0,8.0
527,0,48,0,0.033405,0,0,45800.0,0.0
528,1,51,0,0.170409,0,0,4230.0,0.0
529,0,66,0,0.052989,0,0,5000.0,0.0
530,1,47,0,0.220946,0,0,18275.0,0.0
531,0,28,1,0.109761,0,0,2550.0,0.0
532,0,71,0,0.002063,0,0,12600.0,0.0
534,0,49,0,0.287802,0,0,6500.0,2.0
535,0,79,0,0.456469,0,0,4915.0,0.0
536,0,63,0,0.175215,0,0,11288.0,3.0
537,0,29,0,0.644395,0,0,8500.0,1.0
538,0,68,0,0.216757,0,1,5000.0,0.0
539,0,44,0,0.509322,0,0,12604.0,2.0
540,0,38,0,0.274227,0,0,3332.0,3.0
541,0,58,0,0.021663,0,0,5400.0,0.0
542,0,88,0,0.022481,0,0,1200.0,0.0
543,1,41,1,0.860609,0,0,15000.0,3.0
544,1,50,0,0.230292,0,0,5644.0,0.0
545,0,33,1,0.143104,0,0,8678.0,0.0
546,0,51,0,0.180993,0,0,12121.0,5.0
547,1,52,4,1.821306,1,1,3200.0,0.0
548,0,51,0,0.003671,0,0,5720.0,0.0
549,1,35,1,0.179071,2,1,4500.0,3.0
550,0,41,3,0.149471,1,1,3779.0,2.0
552,0,38,0,0.241353,0,0,9280.0,3.0
553,1,48,1,0.096814,3,0,7250.0,2.0
554,0,26,0,0.71011,0,0,820.0,0.0
555,0,35,0,0.281046,0,0,10250.0,2.0
556,1,52,0,0.749712,0,0,2600.0,1.0
557,0,61,0,0.762878,0,0,4600.0,1.0
558,1,73,0,0.020396,0,0,3333.0,0.0
559,0,40,0,0.407837,0,0,7936.0,0.0
560,0,82,0,0.009177,0,0,3050.0,0.0
561,1,80,0,0.331558,0,0,750.0,0.0
562,1,29,2,0.059543,1,2,1880.0,0.0
563,0,53,0,0.480881,0,0,14749.0,2.0
564,1,54,0,0.352146,0,0,1700.0,0.0
565,0,49,0,0.281578,0,0,5145.0,0.0
566,0,45,0,0.357949,0,0,7000.0,0.0
567,0,62,0,0.187152,0,0,9884.0,2.0
568,0,36,0,0.196151,0,0,1350.0,2.0
569,0,46,0,0.129609,0,0,8000.0,2.0
570,0,60,2,0.943875,0,1,11224.0,2.0
571,0,75,0,0.295823,0,0,13000.0,1.0
574,0,62,0,0.184004,0,0,3700.0,0.0
575,1,46,0,0.253949,0,0,5000.0,0.0
576,0,50,0,0.1976,0,0,10500.0,0.0
577,0,34,0,0.573199,0,0,1290.0,0.0
578,0,53,0,0.432467,0,0,5500.0,1.0
579,0,36,0,0.566143,0,0,10000.0,0.0
580,0,34,0,0.10733,0,0,4583.0,0.0
581,0,49,0,0.006199,0,0,5000.0,0.0
584,1,28,0,0.267539,0,0,2750.0,0.0
585,0,60,2,0.328057,0,0,11308.0,0.0
586,0,67,0,0.238752,0,0,5000.0,0.0
587,0,26,0,0.0,0,0,900.0,0.0
589,0,37,0,0.408994,0,0,3757.0,1.0
590,1,28,3,0.2,0,1,3294.0,0.0
591,1,23,1,0.074324,0,0,1923.0,0.0
592,0,59,0,0.410051,0,0,15997.0,1.0
593,1,29,2,0.38243,0,0,1900.0,1.0
594,0,75,0,0.798539,1,0,2600.0,0.0
596,1,70,1,0.43295,3,0,12333.0,0.0
597,1,41,1,0.10916,3,2,5294.0,4.0
598,1,39,5,1.232553,1,2,5000.0,1.0
600,1,60,0,0.297702,1,1,1000.0,0.0
601,0,25,0,0.0,1,0,2500.0,0.0
602,0,57,0,0.275273,0,0,2927.0,0.0
603,0,53,0,0.241776,0,0,10000.0,2.0
606,0,50,0,0.303652,0,0,3750.0,0.0
607,0,31,1,0.013329,0,0,3300.0,0.0
608,0,51,0,0.01318,0,0,6600.0,2.0
609,0,69,0,0.01932,0,0,1500.0,0.0
610,1,57,0,2945.0,0,0,0.0,0.0
611,0,47,0,0.426609,0,0,7350.0,0.0
612,0,44,0,0.307598,0,0,3250.0,3.0
613,0,52,0,0.344532,0,0,5833.0,0.0
614,0,51,1,0.043579,0,0,2156.0,0.0
615,0,48,0,1329.5,0,0,1.0,1.0
616,0,63,0,0.374045,0,0,23833.0,0.0
617,0,68,0,0.412523,0,0,3800.0,1.0
618,1,30,0,0.02418,1,0,4300.0,1.0
619,0,52,2,0.40324,0,0,15000.0,2.0
620,0,62,0,0.000102,0,0,9832.0,1.0
621,0,46,0,0.286059,1,0,8700.0,1.0
622,0,78,0,0.060988,0,0,5000.0,0.0
623,0,61,0,0.521918,0,0,7550.0,3.0
624,0,46,0,0.342237,0,0,7000.0,3.0
625,0,29,1,0.0,0,0,4966.0,0.0
626,0,28,0,0.02666,0,0,3750.0,0.0
627,0,76,0,0.085461,0,0,900.0,0.0
628,1,48,0,0.362923,0,0,4584.0,0.0
629,1,47,0,0.47647,0,0,11750.0,2.0
630,1,62,0,0.260352,0,0,2100.0,0.0
631,0,58,0,0.339103,0,0,7221.0,2.0
632,0,24,0,0.127574,0,0,1990.0,0.0
633,0,43,0,0.163059,0,0,9100.0,2.0
