heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
1.99,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,0.5,1000
1.99,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.5,100
1.99,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.5,100
1.99,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.5,100
2.2,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,0.5,1000
2.2,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,0.5,1000
2.21,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,0.0,1500
2.21,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,2.0,1000
2.26,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.5,1000
2.36,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.0,1000
2.37,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,0.0,1000
2.37,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,0.0,100
2.38,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,0.5,1500
2.4,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,2.0,100
2.4,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,2.0,100
2.4,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,3.0,100
2.41,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,1.0,100
2.44,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,0.0,1000
2.45,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,4.0,100
2.47,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.0,1500
2.49,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,2.0,1000
2.55,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,2.0,100
2.56,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,1.5,100
2.59,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,4.0,100
2.63,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,0.0,1000
2.63,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,0.0,1000
2.65,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,1.0,1000
2.67,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.5,1500
2.72,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,0.5,1500
2.72,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,0.5,1500
2.75,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,0.5,1000
2.78,nominal4,nominal20,nominal22,1689,84.0,80.0,4,105,140,0.0,2000
2.81,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,3.5,100
2.83,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,1.0,1000
2.89,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,2.5,1000
2.92,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,0.0,2000
2.92,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,0.0,2000
3.05,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,1.0,1000
3.05,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,1.0,1000
3.05,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.5,1000
3.09,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,0.5,700
3.11,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.0,1500
3.13,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,2.0,1000
3.13,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,2.0,1000
3.19,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,0.0,2000
3.22,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,0.5,2500
3.22,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,4.0,100
3.24,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.0,1500
3.29,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,2.0,1000
3.29,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,2.0,1000
3.3,nominal4,nominal20,nominal22,1689,84.0,80.0,4,105,140,2.0,100
3.32,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,1.5,1000
3.37,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,4.5,100
3.39,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.0,2000
3.39,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,3.0,1500
3.42,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,1.0,1500
3.45,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,5.0,2000
3.5,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.0,1500
3.53,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,0.0,1500
3.6,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,0.5,1500
3.6,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,0.5,1500
3.61,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,2.0,1000
3.61,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,2.0,1000
3.64,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,4.0,2500
3.71,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,1.0,1500
3.79,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.5,1500
3.79,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.5,1500
3.81,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,1.0,1000
3.85,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,3.5,1500
3.85,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,3.5,1500
3.88,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.5,2000
3.88,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.5,2000
3.89,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,7.0,1000
3.94,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,0.5,1500
3.94,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,0.5,1500
3.95,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,0.0,100
3.95,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,0.0,100
4.01,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,3.0,1000
4.04,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,5.0,100
4.16,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,0.5,1000
4.18,nominal4,nominal20,nominal22,1689,84.0,80.0,4,105,140,1.0,2000
4.19,nominal4,nominal20,nominal23,1689,84.0,80.0,4,105,140,1.0,2000
4.24,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,1.0,1000
4.28,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,6.0,2000
4.31,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,4.0,1500
4.41,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,1.0,1000
4.42,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,2.0,1500
4.42,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,0.0,3000
4.45,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,5.5,100
4.47,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,1.5,1500
4.49,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,2.0,1000
4.49,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,2.0,1000
4.49,nominal4,nominal20,nominal22,1689,84.0,80.0,4,105,140,3.0,1000
4.5,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,2.0,1000
4.53,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,5.0,2500
4.58,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,4.5,100
4.65,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,3.0,100
4.68,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,2.0,1000
4.68,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,2.0,1000
4.71,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,2.5,1000
4.71,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,3.0,1000
4.73,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.0,2500
4.77,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,3.5,100
4.79,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,3.5,1000
4.79,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,3.5,1000
4.81,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,2.5,1000
4.82,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,0.0,2000
4.87,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,3.5,2000
4.88,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,1.5,1500
4.88,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,1.5,1500
4.89,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,2.5,100
4.92,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,0.0,2500
4.92,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,0.0,2500
4.93,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,2.5,1000
4.94,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.0,2000
4.96,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,1.0,1500
4.98,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,2.0,1500
5.0,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,1.0,1500
5.1,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,1.5,1500
5.1,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,1.5,1500
5.21,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,1.5,1000
5.25,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.5,2500
5.27,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,5.0,1500
5.27,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,5.0,1500
5.37,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,4.0,100
5.38,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,4.0,2000
5.42,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,6.0,1000
5.42,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,6.0,1000
5.42,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,6.0,1000
5.52,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,2.0,1500
5.52,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,2.5,1000
5.57,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.0,2000
5.58,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,4.0,1000
5.61,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,4.0,100
5.62,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,2.0,1500
5.63,nominal4,nominal20,nominal22,1689,84.0,80.0,4,105,140,2.0,2000
5.64,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,3.0,1500
5.66,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,2.5,1500
5.69,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,7.0,100
5.69,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,7.0,100
5.69,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,7.0,100
5.7,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,3.5,100
5.7,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,1.0,1500
5.7,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,3.0,3500
5.75,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,3.0,1000
5.75,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,5.5,1500
5.75,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,1.0,2000
5.81,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,0.0,2000
5.82,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,1.0,2000
5.82,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,1.0,2000
5.82,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,1.0,2000
5.83,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,3.5,100
5.83,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,2.0,1500
5.89,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,4.5,2000
5.89,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,4.5,2000
5.91,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,2.0,2000
5.95,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,1.0,1500
5.95,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,1.0,1500
6.01,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,5.0,3000
6.01,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,5.0,3000
6.01,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,5.0,3000
6.06,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,1.5,700
6.08,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,10.0,100
6.14,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,4.0,1000
6.16,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,2.0,100
6.16,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,2.0,100
6.2,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,3.0,1000
6.21,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,2.0,1000
6.23,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,6.0,1500
6.31,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,4.0,100
6.31,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,4.0,100
6.31,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,4.0,100
6.32,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,7.0,1000
6.32,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,7.0,1000
6.33,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,2.0,1500
6.36,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,3.5,1000
6.38,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,4.5,1000
6.39,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,5.0,1000
6.39,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,5.0,1000
6.4,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,1.0,2500
6.41,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,5.0,2000
6.44,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,3.5,100
6.45,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,3.5,100
6.5,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,1.0,2000
6.5,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,1.0,2000
6.53,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.0,3000
6.62,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,3.5,100
6.62,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,3.5,100
6.64,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,3.5,1000
6.65,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,2.0,1500
6.71,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,2.5,1500
6.71,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,2.5,1500
6.72,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,0.0,2000
6.72,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,0.0,2000
6.72,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,1.0,2500
6.86,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,1.5,2000
6.89,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,1.5,1500
6.91,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,4.0,1500
6.92,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,11.0,1000
6.92,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,8.5,100
6.96,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,1.5,100
6.97,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.0,2000
7.01,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,1.0,2000
7.01,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,6.0,100
7.06,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,1.0,1500
7.13,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,0.5,3500
7.13,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,0.5,3500
7.13,nominal4,nominal20,nominal23,1689,84.0,80.0,4,105,140,5.0,1000
7.16,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,3.5,1000
7.17,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,3.5,100
7.2,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,7.0,1500
7.21,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.0,2500
7.27,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,12.0,100
7.29,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,1.5,2000
7.29,nominal4,nominal20,nominal22,1689,84.0,80.0,4,105,140,5.0,100
7.3,nominal4,nominal20,nominal23,1689,84.0,80.0,4,105,140,5.0,100
7.31,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,1.0,2000
7.34,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,9.0,100
7.34,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,9.0,100
7.36,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,0.5,2500
7.45,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,1.5,1500
7.5,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,2.0,700
7.5,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,2.0,700
7.51,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,8.0,2500
7.54,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,2.5,1000
7.57,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,4.0,100
7.57,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,4.0,100
7.57,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,4.5,1500
7.57,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,4.5,1500
7.57,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,4.5,1500
7.58,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,2.5,1500
7.6,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,4.0,1000
7.6,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,4.0,1000
7.6,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,0.0,2500
7.61,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,2.0,2000
7.65,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,5.0,100
7.66,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,1.5,1500
7.67,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,3.0,1500
7.67,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,3.0,1500
7.68,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,3.0,4000
7.68,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,8.5,1000
7.7,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,1.5,1000
7.73,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,12.0,1000
7.73,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,12.0,1000
7.75,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,1.0,2000
7.76,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,0.0,2000
7.78,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,4.0,100
7.78,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,4.0,100
7.81,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.5,2000
7.81,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,2.0,2000
7.82,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,0.5,2000
7.86,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,2.0,1500
7.86,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,2.0,1500
7.86,nominal4,nominal20,nominal23,1689,84.0,80.0,4,105,140,0.0,3000
7.88,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,6.0,1000
7.9,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,4.5,100
7.93,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,0.5,1500
7.99,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,5.5,100
7.99,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,2.0,2000
8.01,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,6.5,2000
8.06,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,0.5,2500
8.06,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,10.0,2000
8.08,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,4.0,1000
8.08,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,4.0,1000
8.11,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,6.5,100
8.12,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.0,2500
8.2,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,7.0,3000
