HousValue,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
10.2,17.867,0.0,18.1,0,0.671,6.223,100.0,1.386,24,666,20.2,393.738,21.78
10.4,25.941,0.0,18.1,0,0.679,5.304,89.1,1.647,24,666,20.2,127.36,26.64
10.4,88.976,0.0,18.1,0,0.671,6.968,91.9,1.416,24,666,20.2,396.898,17.21
10.5,24.394,0.0,18.1,0,0.7,4.652,100.0,1.467,24,666,20.2,396.898,28.28
11.8,10.672,0.0,18.1,0,0.74,6.459,94.8,1.988,24,666,20.2,43.06,23.98
13.8,18.498,0.0,18.1,0,0.668,4.138,100.0,1.137,24,666,20.2,396.898,37.97
14.2,7.023,0.0,18.1,0,0.718,6.006,95.3,1.875,24,666,20.2,319.979,15.7
14.3,0.881,0.0,21.89,0,0.624,5.637,94.7,1.98,4,437,21.2,396.898,18.34
15.6,4.097,0.0,19.58,0,0.871,5.468,100.0,1.412,5,403,14.7,396.898,26.42
16.1,6.444,0.0,18.1,0,0.584,6.425,74.8,2.2,24,666,20.2,97.95,12.03
17.3,0.15,0.0,25.65,0,0.581,5.856,97.0,1.944,2,188,19.1,370.309,25.41
19.5,0.171,0.0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66
20.0,0.188,0.0,6.91,0,0.448,5.786,33.3,5.1,3,233,17.9,396.898,14.15
20.8,12.048,0.0,18.1,0,0.614,5.648,87.6,1.951,24,666,20.2,291.549,14.1
21.6,0.269,0.0,9.9,0,0.544,6.266,82.8,3.263,4,304,18.4,393.389,7.9
22.0,0.035,34.0,6.09,0,0.433,6.59,40.4,5.492,7,329,16.1,395.75,9.5
23.0,5.824,0.0,18.1,0,0.532,6.242,64.7,3.424,24,666,20.2,396.898,10.74
23.1,0.179,0.0,9.69,0,0.585,5.67,28.8,2.799,6,391,19.2,393.289,17.6
24.3,1.343,0.0,19.58,0,0.605,6.066,100.0,1.757,5,403,14.7,353.889,6.43
24.8,0.037,25.0,4.86,0,0.426,6.302,32.2,5.401,4,281,19.0,396.898,6.72
24.8,0.043,52.5,5.32,0,0.405,6.565,22.9,7.317,6,293,16.6,371.719,9.51
28.0,0.041,25.0,4.86,0,0.426,6.727,33.5,5.401,4,281,19.0,396.898,5.29
28.4,0.122,0.0,2.89,0,0.445,6.625,57.8,3.495,2,276,18.0,357.979,6.65
28.6,0.129,0.0,13.92,0,0.437,6.678,31.1,5.96,4,289,16.0,396.898,6.27
32.4,0.056,40.0,6.41,1,0.447,6.758,32.9,4.078,4,254,17.6,396.898,3.53
33.0,0.02,17.5,1.38,0,0.416,7.104,59.5,9.223,3,216,18.6,393.238,8.05
33.8,0.54,20.0,3.97,0,0.647,7.203,81.8,2.112,5,264,13.0,392.799,9.59
34.9,0.034,75.0,2.95,0,0.428,7.024,15.8,5.401,3,252,18.3,395.619,1.98
35.1,0.21,20.0,3.33,0,0.443,6.812,32.2,4.101,5,216,14.9,396.898,4.85
35.4,0.037,20.0,3.33,0,0.443,6.968,37.2,5.245,5,216,14.9,392.229,4.59
36.2,0.069,0.0,2.18,0,0.458,7.147,54.2,6.062,3,222,18.7,396.898,5.33
36.4,0.087,45.0,3.44,0,0.437,7.178,26.3,6.48,5,398,15.2,390.488,2.87
37.0,0.091,45.0,3.44,0,0.437,6.951,21.5,6.48,5,398,15.2,377.68,5.1
37.2,0.058,0.0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,396.898,5.04
37.9,0.091,0.0,2.46,0,0.488,7.155,92.2,2.701,3,193,17.8,394.119,4.82
42.3,0.022,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,395.379,3.11
42.8,0.369,22.0,5.86,0,0.431,8.259,8.4,8.907,7,330,19.1,396.898,3.54
43.5,0.54,20.0,3.97,0,0.575,7.47,52.6,2.872,5,264,13.0,390.299,3.16
43.8,0.082,0.0,2.89,0,0.445,7.82,36.9,3.495,2,276,18.0,393.529,3.57
46.0,0.061,20.0,3.33,1,0.443,7.645,49.7,5.212,5,216,14.9,377.068,3.01
48.3,0.331,0.0,6.2,0,0.507,8.247,70.4,3.652,8,307,17.4,378.949,3.95
50.0,0.015,90.0,1.21,1,0.401,7.923,24.8,5.885,1,198,13.6,395.52,3.16
50.0,0.02,95.0,2.68,0,0.416,8.034,31.9,5.118,4,224,14.7,390.549,2.88
50.0,1.463,0.0,19.58,0,0.605,7.489,90.8,1.971,5,403,14.7,374.43,1.73
50.0,1.519,0.0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,388.449,3.32
50.0,1.834,0.0,19.58,1,0.605,7.802,98.2,2.041,5,403,14.7,389.609,1.92
50.0,5.67,0.0,18.1,1,0.631,6.683,96.8,1.357,24,666,20.2,375.328,3.73
