HousValue,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
19.3,0.145,0.0,10.01,0,0.547,5.731,65.2,2.759,6,432,17.8,391.5,13.61
30.5,0.069,45.0,3.44,0,0.437,6.739,30.8,6.48,5,398,15.2,389.709,4.69
7.2,18.085,0.0,18.1,0,0.679,6.434,100.0,1.835,24,666,20.2,27.25,29.05
13.3,9.823,0.0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,396.898,21.24
50.0,8.267,0.0,18.1,1,0.668,5.875,89.6,1.13,24,666,20.2,347.879,8.88
23.3,1.425,0.0,19.58,0,0.871,6.51,100.0,1.766,5,403,14.7,364.309,7.39
10.8,12.802,0.0,18.1,0,0.74,5.854,96.6,1.896,24,666,20.2,240.52,23.79
21.7,0.082,0.0,13.92,0,0.437,6.009,42.3,5.503,4,289,16.0,396.898,10.4
18.6,0.229,0.0,8.56,0,0.52,6.405,85.4,2.715,5,384,20.9,70.8,10.63
16.2,0.254,0.0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,396.42,11.5
22.1,0.79,0.0,9.9,0,0.544,6.122,52.8,2.64,4,304,18.4,396.898,5.98
24.3,0.537,0.0,6.2,0,0.504,5.981,68.1,3.671,8,307,17.4,378.35,11.65
50.0,2.01,0.0,19.58,0,0.605,7.929,96.2,2.046,5,403,14.7,369.299,3.7
19.4,0.22,0.0,6.91,0,0.448,5.602,62.0,6.088,3,233,17.9,396.898,16.2
32.7,0.013,35.0,1.52,0,0.442,7.241,49.3,7.038,1,284,15.5,394.738,5.49
25.3,0.141,0.0,6.91,0,0.448,6.169,6.6,5.721,3,233,17.9,383.369,5.81
14.4,0.254,0.0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,396.898,30.81
35.4,0.013,90.0,1.22,0,0.403,7.249,21.9,8.697,5,226,17.9,395.93,4.81
17.1,0.352,0.0,21.89,0,0.624,6.454,98.4,1.85,4,437,21.2,394.078,14.59
44.0,0.015,90.0,3.75,0,0.394,7.454,34.2,6.336,3,244,15.9,386.34,3.11
28.0,0.041,25.0,4.86,0,0.426,6.727,33.5,5.401,4,281,19.0,396.898,5.29
50.0,9.232,0.0,18.1,0,0.631,6.216,100.0,1.169,24,666,20.2,366.148,9.53
19.3,0.066,0.0,3.24,0,0.46,5.868,25.8,5.215,4,430,16.9,382.439,9.97
32.0,0.096,40.0,6.41,0,0.447,6.854,42.8,4.267,4,254,17.6,396.898,2.98
24.1,0.034,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,393.77,7.43
18.8,0.098,0.0,25.65,0,0.581,5.879,95.8,2.006,2,188,19.1,379.379,17.58
24.7,0.159,0.0,6.91,0,0.448,6.211,6.5,5.721,3,233,17.9,394.459,7.44
29.6,0.06,0.0,2.46,0,0.488,6.153,68.8,3.28,3,193,17.8,387.109,13.15
25.1,0.521,0.0,6.2,1,0.507,6.631,76.5,4.148,8,307,17.4,388.449,9.54
15.6,0.976,0.0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31
14.1,4.752,0.0,18.1,0,0.713,6.525,86.5,2.436,24,666,20.2,50.92,18.13
14.1,9.329,0.0,18.1,0,0.713,6.185,98.7,2.262,24,666,20.2,396.898,18.13
36.1,0.055,33.0,2.18,0,0.472,7.236,41.1,4.022,7,222,18.4,393.68,6.93
15.6,4.097,0.0,19.58,0,0.871,5.468,100.0,1.412,5,403,14.7,396.898,26.42
17.8,8.983,0.0,18.1,1,0.77,6.212,97.4,2.122,24,666,20.2,377.729,17.6
36.4,0.087,45.0,3.44,0,0.437,7.178,26.3,6.48,5,398,15.2,390.488,2.87
10.2,12.247,0.0,18.1,0,0.584,5.837,59.7,1.998,24,666,20.2,24.65,15.69
10.2,14.334,0.0,18.1,0,0.7,4.88,100.0,1.589,24,666,20.2,372.92,30.62
48.5,0.035,95.0,2.68,0,0.416,7.853,33.2,5.118,4,224,14.7,392.779,3.81
16.5,0.025,0.0,1.89,0,0.518,6.54,59.7,6.267,1,422,15.9,389.959,8.65
16.6,0.672,0.0,8.14,0,0.538,5.813,90.3,4.682,4,307,21.0,376.879,14.81
20.0,0.102,0.0,12.83,0,0.437,6.279,74.5,4.052,5,398,18.7,373.658,11.97
21.7,0.159,0.0,10.81,0,0.413,5.961,17.5,5.287,4,305,19.2,376.939,9.88
23.0,0.303,0.0,7.38,0,0.493,6.312,28.9,5.416,5,287,19.6,396.898,6.15
21.6,0.027,0.0,7.07,0,0.469,6.421,78.9,4.967,2,242,17.8,396.898,9.14
27.5,4.556,0.0,18.1,0,0.718,3.561,87.9,1.613,24,666,20.2,354.699,7.12
23.1,13.522,0.0,18.1,0,0.631,3.863,100.0,1.511,24,666,20.2,131.42,13.33
17.6,0.206,22.0,5.86,0,0.431,5.593,76.5,7.955,7,330,19.1,372.488,12.5
21.5,1.657,0.0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,372.799,14.1
33.0,0.02,17.5,1.38,0,0.416,7.104,59.5,9.223,3,216,18.6,393.238,8.05
20.2,0.803,0.0,8.14,0,0.538,5.456,36.6,3.796,4,307,21.0,288.988,11.69
20.0,0.188,0.0,6.91,0,0.448,5.786,33.3,5.1,3,233,17.9,396.898,14.15
19.2,0.151,0.0,10.01,0,0.547,6.021,82.6,2.747,6,432,17.8,394.51,10.3
11.8,2.78,0.0,19.58,0,0.871,4.903,97.8,1.346,5,403,14.7,396.898,29.29
15.6,2.155,0.0,19.58,0,0.871,5.628,100.0,1.517,5,403,14.7,169.27,16.65
19.3,0.376,0.0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,395.238,23.98
22.8,0.101,0.0,10.01,0,0.547,6.715,81.6,2.677,6,432,17.8,395.59,10.16
31.5,0.512,0.0,6.2,0,0.507,7.358,71.6,4.148,8,307,17.4,390.068,4.73
48.8,0.52,20.0,3.97,0,0.647,8.398,91.5,2.288,5,264,13.0,386.859,5.91
13.9,15.288,0.0,18.1,0,0.671,6.649,93.3,1.345,24,666,20.2,363.02,23.24
30.1,0.017,90.0,2.02,0,0.41,6.728,36.1,12.126,5,187,17.0,384.459,4.5
12.7,1.131,0.0,8.14,0,0.538,5.713,94.1,4.233,4,307,21.0,360.17,22.6
18.1,0.558,0.0,21.89,0,0.624,6.335,98.2,2.111,4,437,21.2,394.67,16.96
21.2,0.123,0.0,6.91,0,0.448,6.069,40.0,5.721,3,233,17.9,389.389,9.55
20.1,0.02,80.0,1.76,0,0.385,6.23,31.5,9.089,1,241,18.2,341.6,12.93
19.2,0.34,0.0,21.89,0,0.624,6.458,98.9,2.118,4,437,21.2,395.039,12.6
19.8,0.045,0.0,3.24,0,0.46,6.144,32.2,5.874,4,430,16.9,368.568,9.09
21.0,0.475,0.0,9.9,0,0.544,6.113,58.8,4.002,4,304,18.4,396.229,12.73
23.1,1.054,0.0,8.14,0,0.538,5.935,29.3,4.499,4,307,21.0,386.85,6.58
13.5,1.613,0.0,8.14,0,0.538,6.096,96.9,3.76,4,307,21.0,248.31,20.34
10.9,15.874,0.0,18.1,0,0.671,6.545,99.1,1.519,24,666,20.2,396.898,21.08
22.2,0.051,0.0,5.19,0,0.515,6.316,38.1,6.458,5,224,20.2,389.709,5.68
18.8,0.123,0.0,10.01,0,0.547,5.913,92.9,2.353,6,432,17.8,394.949,16.21
20.1,0.106,30.0,4.93,0,0.428,6.095,65.1,6.336,6,300,16.6,394.619,12.4
31.1,0.022,60.0,2.93,0,0.401,6.8,9.9,6.22,1,265,15.6,393.369,5.03
17.1,0.05,35.0,6.06,0,0.438,5.706,28.4,6.641,1,304,16.9,394.02,12.43
33.2,0.105,40.0,6.41,1,0.447,7.267,49.0,4.787,4,254,17.6,389.25,6.05
27.1,0.145,12.5,7.87,0,0.524,6.172,96.1,5.95,5,311,15.2,396.898,19.15
14.8,0.956,0.0,8.14,0,0.538,6.047,88.8,4.453,4,307,21.0,306.379,17.28
15.2,1.232,0.0,8.14,0,0.538,6.142,91.7,3.977,4,307,21.0,396.898,18.72
14.2,7.023,0.0,18.1,0,0.718,6.006,95.3,1.875,24,666,20.2,319.979,15.7
9.7,11.578,0.0,18.1,0,0.7,5.036,97.0,1.77,24,666,20.2,396.898,25.68
43.1,0.534,20.0,3.97,0,0.647,7.52,89.4,2.14,5,264,13.0,388.369,7.26
19.3,0.171,0.0,6.91,0,0.448,5.682,33.8,5.1,3,233,17.9,396.898,10.21
37.0,0.091,45.0,3.44,0,0.437,6.951,21.5,6.48,5,398,15.2,377.68,5.1
37.3,0.079,80.0,4.95,0,0.411,7.148,27.7,5.117,4,245,19.2,396.898,3.56
11.3,9.187,0.0,18.1,0,0.7,5.536,100.0,1.58,24,666,20.2,396.898,23.6
19.5,0.171,0.0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66
19.4,2.149,0.0,19.58,0,0.871,5.709,98.5,1.623,5,403,14.7,261.949,15.79
26.4,0.083,0.0,2.46,0,0.488,5.604,89.8,2.988,3,193,17.8,391.0,13.98
10.4,88.976,0.0,18.1,0,0.671,6.968,91.9,1.416,24,666,20.2,396.898,17.21
22.0,0.035,34.0,6.09,0,0.433,6.59,40.4,5.492,7,329,16.1,395.75,9.5
21.9,3.697,0.0,18.1,0,0.718,4.963,91.4,1.752,24,666,20.2,316.029,14.0
12.0,15.023,0.0,18.1,0,0.614,5.304,97.3,2.101,24,666,20.2,349.479,24.91
31.5,0.442,0.0,6.2,0,0.504,6.552,21.4,3.375,8,307,17.4,380.34,3.76
24.5,0.164,22.0,5.86,0,0.431,6.433,49.1,7.826,7,330,19.1,374.709,9.52
16.2,0.259,0.0,21.89,0,0.624,5.693,96.0,1.788,4,437,21.2,392.109,17.19
17.8,0.545,0.0,21.89,0,0.624,6.151,97.9,1.669,4,437,21.2,396.898,18.46
19.5,0.034,0.0,5.19,0,0.515,5.869,46.3,5.231,5,224,20.2,396.898,9.8
16.1,2.635,0.0,9.9,0,0.544,4.973,37.8,2.519,4,304,18.4,350.449,12.64
30.3,0.047,80.0,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,354.309,8.61
12.7,13.36,0.0,18.1,0,0.693,5.887,94.7,1.782,24,666,20.2,396.898,16.35
13.1,1.152,0.0,8.14,0,0.538,5.701,95.0,3.787,4,307,21.0,358.77,18.35
22.5,0.065,70.0,2.24,0,0.4,6.345,20.1,7.828,5,358,14.8,368.238,4.97
19.7,0.089,21.0,5.64,0,0.439,5.963,45.7,6.815,4,243,16.8,395.559,13.45
41.3,1.224,0.0,19.58,0,0.605,6.943,97.4,1.877,5,403,14.7,363.43,4.59
11.9,20.716,0.0,18.1,0,0.659,4.138,100.0,1.178,24,666,20.2,370.219,23.34
18.7,0.062,0.0,5.19,0,0.515,5.968,58.5,4.812,5,224,20.2,396.898,9.29
23.7,0.29,0.0,10.59,0,0.489,5.412,9.8,3.587,4,277,18.6,348.93,29.55
15.3,1.127,0.0,19.58,1,0.871,5.012,88.0,1.61,5,403,14.7,343.279,12.12
33.8,0.54,20.0,3.97,0,0.647,7.203,81.8,2.112,5,264,13.0,392.799,9.59
8.8,73.534,0.0,18.1,0,0.679,5.957,100.0,1.803,24,666,20.2,16.45,20.62
21.4,0.095,0.0,12.83,0,0.437,6.286,45.0,4.503,5,398,18.7,383.229,8.94
21.7,0.174,0.0,10.59,1,0.489,5.96,92.1,3.877,4,277,18.6,393.25,17.27
18.5,0.284,0.0,7.38,0,0.493,5.708,74.3,4.721,5,287,19.6,391.129,11.74
26.5,0.114,0.0,8.56,0,0.52,6.781,71.3,2.856,5,384,20.9,395.578,7.67
24.0,0.006,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.898,4.98
13.2,1.388,0.0,8.14,0,0.538,5.95,82.0,3.99,4,307,21.0,232.6,27.71
21.9,0.048,80.0,3.64,0,0.392,6.108,32.0,9.22,1,315,16.4,392.889,6.57
34.7,0.027,0.0,7.07,0,0.469,7.185,61.1,4.967,2,242,17.8,392.828,4.03
13.3,0.25,0.0,21.89,0,0.624,5.857,98.2,1.669,4,437,21.2,392.039,21.32
17.2,0.062,0.0,4.39,0,0.442,5.898,52.3,8.014,3,352,18.8,364.609,12.67
21.2,0.132,0.0,10.01,0,0.547,6.176,72.5,2.73,6,432,17.8,393.299,12.04
18.5,0.191,22.0,5.86,0,0.431,5.605,70.2,7.955,7,330,19.1,389.129,18.46
20.8,0.087,0.0,12.83,0,0.437,6.14,45.8,4.09,5,398,18.7,386.959,10.27
19.6,0.852,0.0,8.14,0,0.538,5.965,89.2,4.012,4,307,21.0,392.529,13.83
50.0,6.539,0.0,18.1,1,0.631,7.016,97.5,1.202,24,666,20.2,392.049,2.96
14.4,1.629,0.0,21.89,0,0.624,5.019,100.0,1.439,4,437,21.2,396.898,34.41
13.4,3.321,0.0,19.58,1,0.871,5.403,100.0,1.322,5,403,14.7,396.898,26.82
27.5,0.149,0.0,8.56,0,0.52,6.727,79.9,2.778,5,384,20.9,394.76,9.42
44.8,0.315,0.0,6.2,0,0.504,8.266,78.3,2.894,8,307,17.4,385.049,4.14
22.0,0.113,30.0,4.93,0,0.428,6.897,54.3,6.336,6,300,16.6,391.25,11.38
18.7,0.222,0.0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.898,17.09
22.8,0.493,0.0,9.9,0,0.544,6.635,82.5,3.317,4,304,18.4,396.898,4.54
19.9,0.627,0.0,8.14,0,0.538,5.834,56.5,4.499,4,307,21.0,395.619,8.47
34.9,0.084,45.0,3.44,0,0.437,7.185,38.9,4.567,5,398,15.2,396.898,5.39
20.6,0.043,28.0,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.898,10.59
19.4,0.262,0.0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,396.299,11.72
10.2,17.867,0.0,18.1,0,0.671,6.223,100.0,1.386,24,666,20.2,393.738,21.78
22.9,0.036,25.0,4.86,0,0.426,6.167,46.7,5.401,4,281,19.0,390.639,7.51
25.0,4.542,0.0,18.1,0,0.77,6.398,88.0,2.518,24,666,20.2,374.559,7.79
9.6,14.421,0.0,18.1,0,0.74,6.461,93.3,2.003,24,666,20.2,27.49,18.05
20.0,0.097,0.0,5.96,0,0.499,5.841,61.4,3.378,5,279,19.2,377.559,11.41
26.4,0.093,34.0,6.09,0,0.433,6.495,18.4,5.492,7,329,16.1,383.609,8.67
50.0,1.463,0.0,19.58,0,0.605,7.489,90.8,1.971,5,403,14.7,374.43,1.73
18.9,0.117,12.5,7.87,0,0.524,6.009,82.9,6.227,5,311,15.2,396.898,13.27
10.5,24.394,0.0,18.1,0,0.7,4.652,100.0,1.467,24,666,20.2,396.898,28.28
22.9,0.088,12.5,7.87,0,0.524,6.012,66.6,5.56,5,311,15.2,395.6,12.43
21.5,0.111,0.0,13.89,1,0.55,5.951,93.8,2.889,5,276,16.4,396.898,17.92
17.8,0.318,0.0,9.9,0,0.544,5.914,83.2,3.999,4,304,18.4,390.699,18.33
24.8,0.214,22.0,5.86,0,0.431,6.438,8.9,7.397,7,330,19.1,377.068,3.59
23.5,0.036,80.0,3.37,0,0.398,6.29,17.8,6.611,4,337,16.1,396.898,4.67
34.9,0.031,95.0,1.47,0,0.403,6.975,15.3,7.653,3,402,17.0,396.898,4.56
18.7,0.149,25.0,5.13,0,0.453,5.741,66.2,7.225,8,284,19.7,395.109,13.15
14.3,5.581,0.0,18.1,0,0.713,6.436,87.9,2.316,24,666,20.2,100.19,16.22
24.3,0.34,22.0,5.86,0,0.431,6.108,34.9,8.055,7,330,19.1,390.18,9.16
20.4,0.63,0.0,8.14,0,0.538,5.949,61.8,4.707,4,307,21.0,396.898,8.26
23.1,0.019,85.0,4.15,0,0.429,6.516,27.7,8.535,4,351,17.9,392.43,6.36
13.8,8.645,0.0,18.1,0,0.693,6.193,92.6,1.791,24,666,20.2,396.898,15.17
22.7,2.242,0.0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,395.109,11.64
27.0,1.273,0.0,19.58,1,0.605,6.25,92.6,1.798,5,403,14.7,338.92,5.5
13.6,1.252,0.0,8.14,0,0.538,5.57,98.1,3.798,4,307,21.0,376.568,21.02
23.2,0.07,0.0,4.05,0,0.51,6.02,47.2,3.555,5,296,16.6,393.229,10.11
23.1,0.139,0.0,4.05,0,0.51,5.572,88.5,2.596,5,296,16.6,396.898,14.69
21.9,3.474,0.0,18.1,1,0.718,8.78,82.9,1.905,24,666,20.2,354.549,5.29
36.2,0.069,0.0,2.18,0,0.458,7.147,54.2,6.062,3,222,18.7,396.898,5.33
29.1,0.08,40.0,6.41,0,0.447,6.482,32.1,4.14,4,254,17.6,396.898,7.19
28.7,0.07,0.0,13.89,0,0.55,6.642,85.1,3.421,5,276,16.4,392.779,9.69
24.8,0.037,25.0,4.86,0,0.426,6.302,32.2,5.401,4,281,19.0,396.898,6.72
23.0,0.114,0.0,13.89,1,0.55,6.373,92.4,3.363,5,276,16.4,393.738,10.5
20.6,0.045,0.0,11.93,0,0.573,6.12,76.7,2.287,1,273,21.0,396.898,9.08
20.6,0.045,0.0,11.93,0,0.573,6.12,76.7,2.287,1,273,21.0,396.898,9.08
20.6,0.045,0.0,11.93,0,0.573,6.12,76.7,2.287,1,273,21.0,396.898,9.08
20.6,0.045,0.0,11.93,0,0.573,6.12,76.7,2.287,1,273,21.0,396.898,9.08
23.136901710915044,0.1585446481047462,0.0,11.93,0,0.573,6.809666294905385,90.66991437292039,2.601964028298302,1,273,21.0,395.7975894341745,7.034393081948065
22.121849858895377,0.1466925151992236,0.0,11.93,0,0.573,6.816706864674569,89.33421326603926,2.4729745471708116,1,273,21.0,393.56555032016337,6.697614691186071
22.0,0.11,0.0,11.93,0,0.573,6.794,89.3,2.389,1,273,21.0,393.449,6.48
22.91194405487784,0.15594254718778036,0.0,11.93,0,0.573,6.944395221894178,90.42289215243211,2.5747871416624246,1,273,21.0,395.1091264055982,6.705452382565298
23.9,0.061,0.0,11.93,0,0.573,6.976,91.0,2.167,1,273,21.0,396.898,5.64
23.9,0.061,0.0,11.93,0,0.573,6.976,91.0,2.167,1,273,21.0,396.898,5.64
23.9,0.061,0.0,11.93,0,0.573,6.976,91.0,2.167,1,273,21.0,396.898,5.64
23.9,0.061,0.0,11.93,0,0.573,6.976,91.0,2.167,1,273,21.0,396.898,5.64
14.6,10.233,0.0,18.1,0,0.614,6.185,96.7,2.17,24,666,20.2,379.699,18.03
14.6,10.233,0.0,18.1,0,0.614,6.185,96.7,2.17,24,666,20.2,379.699,18.03
14.590179592328264,10.22681079831079,0.0,17.98543507878476,0,0.6146089061918576,6.187558377576096,96.53909032358517,2.161195034320796,24,666,20.199401703405435,379.8664058208649,18.079688369346982
14.745173434020877,10.113259180201318,0.0,18.118481258697145,0,0.6150234191342037,6.177680667526781,96.57414624486232,2.196950552045589,24,666,20.200202329082988,378.07032359818635,18.07317053811821
14.921391478927314,6.270843886489856,0.0,18.0914842058882,0,0.7372275561927991,6.338828019497539,96.5955735020944,2.0988744871008405,23,666,20.200008166673193,317.805324881532,17.87396824132843
15.513112366053955,8.430098454843698,0.0,18.1,0,0.7428272270234901,6.346886576616635,97.39070290959751,2.174524477933434,24,666,20.2,318.7062935616418,19.58692766867077
14.971727947169928,6.320632271780861,0.0,18.089162224440006,0,0.7402344649878456,6.343964721131974,97.23783405254949,2.0647810246315763,24,666,20.20137038293315,317.86894765279516,17.862699781036078
15.61844901368121,9.359052922637384,0.0,18.1,0,0.7459048588722373,6.375778281392177,97.39821958593892,2.2568991663494855,24,666,20.2,318.2188564773462,20.284493574528625
14.972674645402192,7.701796488070522,0.0,18.127651059137328,0,0.7146884980611903,6.308190139044001,83.8069757480776,2.80264153075049,23,666,20.2004070508381,272.14237983577806,16.196452181476687
14.809840376359723,7.778463626295159,0.0,18.100587357276684,0,0.713360365335167,6.296574490065643,83.17188156173272,2.798428421362434,23,665,20.200318911598362,271.6008589905201,16.08889802439582
15.972342797683021,10.910092675406782,0.0,18.1,0,0.8104255184088001,6.376614257655103,83.80131104219312,3.257567525384127,24,666,20.2,274.35139138453326,17.314671569816372
15.049835770901309,7.7721855142722545,0.0,18.052858245903714,0,0.7129085179787797,6.307601892865898,83.50301556509804,2.7638474974436202,23,665,20.199077481378986,272.4992106521468,16.36562112651234
15.1,6.962,0.0,18.1,0,0.7,5.713,97.0,1.926,24,666,20.2,394.43,17.11
15.243984046144567,6.960473121761209,0.0,18.201679041043974,0,0.6988243961203144,5.714422731392703,97.02128418030448,1.9276875333403485,23,666,20.199570266157068,394.42355119781837,17.18688429485831
15.157865460806526,7.042227280808012,0.0,18.03864863366634,0,0.7019098573850794,5.712736360768985,97.26627685329932,1.9293953397651589,24,665,20.199909239402455,394.46430918021684,17.155937890649636
15.337140091874367,7.04761834873752,0.0,18.0911977763096,0,0.6986059411105813,5.717159435259321,96.82508614609962,1.908436018655396,24,666,20.200301722688675,394.54340491118177,16.999666430920723
15.121589916185963,0.21521639561115696,0.0,27.719195698105132,0,0.608207006342221,5.451621879554768,92.99505198880999,1.827219879399645,3,711,20.100227019115856,394.9025877640987,17.999650438588883
15.2,0.151,0.0,27.74,0,0.609,5.454,92.7,1.821,4,711,20.1,395.09,18.06
15.189259981681099,0.08136723938473267,0.0,27.798882209668566,0,0.6098343189108871,5.449057637056356,92.98331097324021,1.83395169413068,3,710,20.100787495634105,396.22602730674816,18.026545258217
15.2,0.151,0.0,27.74,0,0.609,5.454,92.7,1.821,4,711,20.1,395.09,18.06
15.154500349121976,5.4261868672195614,0.0,18.19961436478839,0,0.7134234033722002,6.643839628548594,98.05506176356859,2.3650350059635836,24,666,20.20014272904036,355.2250325064189,17.853012169342325
15.167634287753259,5.417797724563318,0.0,18.092047516937427,0,0.712979910330529,6.652683895892427,98.29494208335745,2.3501463628647348,24,666,20.198793361955595,353.9828158269375,17.76315677091075
15.272392062518186,5.419899342750579,0.0,18.15128348624951,0,0.7125723010637947,6.652663620911187,98.14641108062723,2.349516547367374,23,666,20.199679333424914,354.66184215461544,17.70112414535254
15.2,5.441,0.0,18.1,0,0.713,6.655,98.2,2.355,24,666,20.2,355.289,17.73
15.532396255717405,9.975756824392281,0.0,18.118122189644268,0,0.7382281507022539,6.474949666929979,100.12643260451811,1.988583962979929,23,665,20.20015364075828,386.38312011418765,18.984913934129782
15.43498048210769,9.917186104846644,0.0,18.138865443486957,0,0.7391997463531172,6.481499967865742,100.19854333139415,1.9792758941920185,23,666,20.20052962924214,385.63546492974007,18.915624147092537
15.412831158209576,10.041608460159297,0.0,18.121773177784323,0,0.7413549525362871,6.474097250742684,100.03810264617854,1.9811179799693783,23,665,20.199195883035102,387.30308241715215,18.866120760811686
15.480733245904174,10.049775277776014,0.0,18.09762921997465,0,0.7400555999302197,6.491072650736326,99.92859422654237,1.9859418544916632,23,666,20.200312533780785,386.80827844970116,18.785701240644997
16.144357286834676,5.132627827982626,0.0,18.16273544510257,0,0.7144503976317508,6.309216342284226,91.47866726924047,2.381380996563713,23,666,20.199394142543877,384.5803857179414,17.36997052379765
15.933184679487669,5.084242681630669,0.0,18.131495390788032,0,0.7131105488655876,6.2853735558842985,91.45352762368815,2.3634599446174116,24,665,20.19986731831942,385.7375329254119,17.329154434270894
16.025498909774026,5.102895733740617,0.0,18.0239723462863,0,0.7152137435156178,6.307379015980546,91.76538049729933,2.3918271295947817,23,665,20.19971365108823,385.7447364637476,17.272519890291107
16.1,5.09,0.0,18.1,0,0.713,6.297,91.8,2.368,24,666,20.2,385.09,17.27
16.611084923474404,4.938970283367389,0.0,18.1974192981851,0,0.6144979271384334,6.488257000915581,93.88948106216947,2.311381509178075,23,665,20.201231441740163,394.79143032480414,18.597278064713894
16.853774176059883,4.906831090062638,0.0,18.03976270676106,0,0.6151212363827692,6.474508553614075,93.76354675003971,2.3197688432408197,23,666,20.200356022583602,396.47262305533224,18.653487217945266
16.761688022989617,4.828257169302965,0.0,18.11590350719677,0,0.6155060193555998,6.4716965733786855,93.89771483941107,2.294933672377665,23,665,20.19915853659231,396.05997815679143,18.77087864236769
16.853018789638,4.974018581727543,0.0,18.10208032399723,0,0.6152785227309309,6.4855826718307075,93.6673008141352,2.2991999186248853,23,665,20.19998543743149,395.86241486997625,18.7762032111966
16.84695394891324,11.089078303755027,0.0,18.131185111719752,0,0.7183653462275484,6.402654182729696,100.1199208205975,1.853608981235729,23,666,20.20010170677803,319.20746031458367,15.103880465915687
16.676511438337812,11.11137377778915,0.0,18.13373925048696,0,0.7184656983908073,6.403587512518123,100.1395070604636,1.8451669322094546,24,665,20.200138104993297,317.63470828772915,15.1182625374715
