critical_temp,number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence
1.52,2,146.644575,175.5139375,134.7993732,165.9841581,0.613496215,0.379942355,115.47745,131.0610125,57.738725,50.00320263,602.15,595.525,602.0042026,595.416052,0.692905062,0.571317107,26.5,287.825,13.25,11.4748366,184.0,170.0,181.8570867,168.4330892,0.681523625,0.620505368,56,64.0,28.0,24.24871131,8161.0,10005.5,7279.642848,9287.829012,0.587183255,0.350134816,7378.0,7769.5,3689.0,3194.767715,25.9,23.3,25.37262304,22.91753252,0.672854806,0.636761787,10.4,7.75,5.2,4.5033321,7.8,6.0,6.919537557,5.390923644,0.582492244,0.691896659,7.2,0.3,3.6,3.117691454,31.5,38.75,27.96426291,35.86580675,0.5831009,0.345840372,29.0,30.25,14.5,12.55736835,3.0,3.0,3.0,3.0,0.693147181,0.562335145,0,1.5,0.0,0.0
1.81,3,95.90629333,81.74164667,57.25804761,51.51408521,0.781191766,0.818223645,170.13688,44.37633333,69.45810079,58.46747631,748.3666667,735.8166667,746.8115232,733.9387991,1.096551787,1.026712243,115.4,215.7166667,47.83682914,52.73867704,159.0,157.3333333,148.9707313,147.7026262,1.041453486,0.945092457,113,66.0,51.07510809,49.8586892,9796.666667,8735.0,7495.158475,6916.355364,0.89697004,0.898416492,14190.0,4320.0,5803.116021,4975.934586,44.7,51.51666667,40.67018767,46.58487769,1.001270357,0.788830038,45.2,31.28333333,20.36974881,21.93022394,40.66666667,40.66666667,40.165977,40.165977,1.085869292,1.008668746,14.0,12.0,6.599663291,6.599663291,74.33333333,88.0,59.80687907,69.38641737,0.898950272,0.659899285,112.0,60.5,47.33802794,51.97114584,4.666666667,4.833333333,4.481404747,4.619670965,1.060944241,0.925073829,3,2.166666667,1.247219129,1.343709625
1.84,2,185.0235,186.192798,185.0197148,186.1927075,0.693126723,0.036290026,2.367,183.986718,1.1835,0.182796163,764.4,759.1636,764.3816259,759.1631627,0.693123143,0.037102887,10.6,749.9272,5.3,0.818605546,190.5,188.03,190.4835951,188.0296103,0.693061067,0.037486249,5,185.714,2.5,0.386134692,20135.0,21009.38,20115.54126,21008.909,0.692180922,0.034088623,1770.0,20778.38,885.0,136.6916808,48.05,16.3846,35.79944134,16.15537554,0.450281975,0.132413888,64.1,15.4234,32.05,4.950246745,34.0,33.012,33.98529094,33.01165248,0.692714592,0.038513559,2.0,32.592,1.0,0.154453877,109.0,48.732,90.33271833,48.36558927,0.527140096,0.101639866,122.0,46.692,61.0,9.421686473,6.5,6.994,6.480740698,6.993528665,0.690185676,0.032256447,1,6.922,0.5,0.077226938
2.0,3,104.6223983,110.4484564,98.23944455,107.3953239,1.041958372,0.726783514,81.182805,73.59382929,33.9177896,22.77043778,618.7333333,584.0285714,611.333635,580.2625258,1.086253327,0.84061646,218.0,321.4142857,98.81768848,71.33223504,164.3333333,159.5714286,163.6992306,159.2543071,1.094681174,0.81997304,33,89.71428571,14.70449667,10.47251018,7633.0,7448.428571,7578.027783,7423.688266,1.091291024,0.814231609,2211.0,4265.857143,931.0843141,630.1477961,49.03333333,38.38571429,46.73505981,36.55253778,1.053921086,0.98253612,34.8,14.35714286,14.31370749,13.14669199,8.32,5.428571429,6.622649457,4.417107387,0.879705341,1.00628911,12.94,1.542857143,5.646544666,4.464819397,64.33333333,74.42857143,44.8472185,63.31324366,0.867639179,0.586808963,89.0,57.0,38.42163742,26.62896995,3.666666667,3.285714286,3.634241186,3.257002085,1.090059659,0.887185177,1,1.571428571,0.471404521,0.451753951
2.1,2,100.5205,70.61733333,45.34949316,28.11924015,0.209484229,0.329589773,179.419,56.20266667,89.7095,84.57892772,810.0,806.7333333,809.9407139,806.6807053,0.693073989,0.640191061,19.6,260.2,9.8,9.239528608,136.0,119.6666667,126.8660711,111.8759522,0.626758559,0.692677682,98,3.666666667,49.0,46.19764304,12525.0,9170.0,7454.622727,5151.442007,0.321117839,0.469636141,20130.0,5890.0,10065.0,9489.373004,67.9,54.66666667,55.08466211,44.06598639,0.510837549,0.643590073,79.4,17.06666667,39.7,37.42951895,40.5,43.66666667,39.37003937,42.63509492,0.665378122,0.547177308,19.0,23.0,9.5,8.956685895,57.0,47.0,48.46648326,39.8794286,0.547412469,0.665503544,60.0,11.0,30.0,28.28427125,4.5,4.0,4.242640687,3.77976315,0.636514168,0.693147181,3,0.0,1.5,1.414213562
2.4,3,92.795,66.62578947,77.34245148,55.83813858,0.948766159,0.976219271,118.295,26.00842105,48.34555943,39.011016,741.3,838.7447368,717.5758361,819.8639763,1.065904972,0.809134999,458.9,483.15,191.5576328,172.9531237,171.6666667,139.5789474,157.8640608,128.2130122,1.025003793,0.96934881,151,56.21052632,62.99382686,56.77408211,6531.0,5669.973684,5291.408013,4184.996013,0.936512539,0.782780271,8320.0,3477.394737,3445.998936,3982.068251,108.8,139.0921053,91.32565166,121.4445386,0.924677421,0.636819033,150.0,101.9868421,66.15572538,66.02308759,15.41,15.79210526,8.08951547,6.501185163,0.629097374,0.393678589,34.27,13.53947368,14.81934097,16.41546578,50.735,56.00263158,7.181866663,3.729365777,0.301918645,0.105385683,138.795,54.76052632,62.63098634,67.11020791,5.0,5.763157895,4.762203156,5.680489016,1.054920168,0.826254832,3,2.921052632,1.414213562,0.808969797
2.5,3,185.0286233,168.4288971,181.860432,165.0746367,1.082286397,1.028735968,70.07493,49.52021143,32.62209283,34.09514464,653.0666667,613.9571429,647.9371198,608.3067983,1.09099687,1.00773598,174.1,208.7857143,79.33147057,84.21377317,164.0,175.8571429,162.5413228,174.3822492,1.08951043,0.885844699,52,91.0,22.37558193,22.36341765,9088.666667,8149.142857,8800.651463,7823.828328,1.068459783,1.031809556,5194.0,2114.857143,2176.061478,2362.600228,59.6,51.98571429,55.17241651,49.66679091,1.020821162,1.002096927,56.1,17.82857143,23.99041475,17.54914964,7.323333333,6.52,6.893320568,6.292630163,1.03754457,0.997134417,6.13,2.237142857,2.605076241,1.9087393,18.66666667,18.57142857,15.38274336,16.09586097,0.910761403,0.871420046,27.0,8.857142857,11.72840806,10.52693339,4.0,3.571428571,3.914867641,3.503569324,1.077556327,1.038811757,2,1.0,0.816496581,0.728431359
2.52,3,55.37378,57.9080275,18.46498961,12.62130555,0.683843032,0.094125117,105.41206,56.50925565,43.09826374,52.32486482,950.3333333,1034.773098,918.8146655,1004.120283,1.063757065,0.711383194,575.1,592.6353261,256.7164757,253.5128338,123.6666667,115.8804348,110.0988918,99.43321525,1.002546122,0.568096187,116,89.25543478,50.63156679,57.65873032,6977.029967,6508.88615,212.7408625,54.79048721,0.682086338,0.061334604,12022.9101,6436.184502,5094.708089,5971.937365,81.0,64.39483696,77.50110911,63.59239492,1.054553539,0.756077129,58.3,32.99429348,24.26781133,10.47411148,11.486,9.334902174,5.431999304,3.539625137,0.764645948,0.202738535,16.642,8.799728261,7.729958516,8.044288493,54.06016667,38.83240217,10.52589376,4.651178587,0.693425239,0.109671103,90.8195,37.92575,38.96377685,35.47035906,2.333333333,2.614130435,2.0,2.112284772,0.955699891,0.499845012,3,2.125,1.247219129,1.490191228
2.55,2,51.4025225,48.8569463,51.28078978,48.79927707,0.690779891,0.435375906,7.071045,33.4742937,3.5355225,2.453560914,687.3,666.06,686.6666149,665.7580816,0.692225767,0.423861047,59.0,465.356,29.5,20.47223486,168.5,173.9,168.3330033,173.8187078,0.692156266,0.38565365,15,128.82,7.5,5.204805472,5988.5,4921.82,5802.352109,4837.357495,0.662226024,0.517227113,2963.0,2830.22,1481.5,1028.122574,5.3,8.036,3.69459064,7.070145862,0.407694112,0.121029556,7.6,7.616,3.8,2.637101439,15.95,17.93,15.71114254,17.81000872,0.678209394,0.331771119,5.5,14.234,2.75,1.908428673,14.85,19.998,13.01537552,18.99294047,0.572280699,0.209857691,14.3,17.842,7.15,4.96191455,4.0,4.0,4.0,4.0,0.693147181,0.404963485,0,2.88,0.0,0.0
2.7,4,73.688875,88.25311,66.03986501,86.20326029,1.297599212,1.068393579,78.3345,42.00629,28.92313873,17.24089161,724.625,735.72,716.4709579,728.6625299,1.375678411,1.094915278,254.5,305.68,102.5715452,95.31579932,156.0,161.12,150.5362014,157.3895049,1.350482642,1.137617477,108,65.38,42.20189569,35.22592227,5576.5,7404.54,4450.104871,6299.163255,1.163075529,0.854539507,9693.0,4762.6,3900.104133,3905.483582,79.3325,71.878,49.21796621,49.33401394,1.115393831,0.845982774,128.57,44.484,51.68984106,44.08664759,26.675,21.368,21.4898965,18.82092507,1.200032027,1.023611659,42.2,11.08,16.03081018,10.12109559,79.0,61.2,68.76892344,58.68623504,1.248326323,1.119951114,115.0,25.4,43.01743832,18.2745725,3.5,3.6,3.363585661,3.482202253,1.351783994,1.05319192,2,1.52,0.866025404,0.8
2.9,1,12.0107,12.0107,12.0107,12.0107,0.0,0.0,0.0,0.0,0.0,0.0,1085.7,1085.7,1085.7,1085.7,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,67.0,67.0,0.0,0.0,0,0.0,0.0,0.0,2260.0,2260.0,2260.0,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,155.4,155.4,155.4,155.4,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0,0.0,0.0,0.0
3.06,4,116.7251625,103.9380256,75.40252901,50.59762401,1.136189439,0.660607011,181.406,80.62488889,72.59963814,86.93349653,699.175,805.2933333,684.3224536,799.3462863,1.365385066,0.966062881,355.1,363.0222222,141.79306,89.25140621,174.0,142.4444444,163.8312852,132.8261561,1.335148144,1.089523638,130,70.35555556,52.19674319,50.62303189,9833.25,11855.51111,7029.975432,7290.12277,1.086049208,0.575867745,20100.0,9728.533333,7827.484314,9694.098373,65.825,84.67333333,51.22967993,61.72981744,1.12703464,0.649374931,124.3,65.70444444,50.84099601,60.84682554,27.35,35.51555556,23.89558797,32.66618196,1.257553975,0.839871467,38.6,21.46222222,14.12329636,13.43041251,52.5,80.51111111,32.39708847,54.80998906,0.903731645,0.541738151,134.0,65.95555556,56.45573487,62.23026139,3.75,4.333333333,3.567621345,4.082370001,1.33217904,0.910511041,3,2.533333333,1.299038106,1.490711985
3.2,4,100.1993472,98.97887528,82.15964394,82.27427341,1.228027118,1.045032681,151.5084614,47.65338438,53.98266715,50.15286093,642.825,692.3625,636.5347872,683.3023336,1.37604978,1.092872133,228.3,363.2875,94.13868426,111.5141072,176.75,166.25,172.2035011,162.9096163,1.362023764,1.19251891,94,71.25,37.85085864,32.3022832,8126.25,9461.625,6630.008961,7930.254265,1.213056777,0.932097672,10610.0,5732.0,4605.802231,4363.841153,32.95,40.825,18.34682213,25.59454087,1.122447536,0.797264072,53.7,27.31875,20.06047108,20.04275118,16.075,16.51875,15.09684931,15.79381392,1.322059998,1.134111838,14.8,7.6375,5.915393055,5.024218689,86.5,99.625,50.538895,70.89623411,0.91599409,0.863481142,218.0,57.6875,88.2538951,80.73945365,3.5,3.6875,3.464101615,3.656087964,1.376055285,1.13114515,1,1.8125,0.5,0.463512405
3.3,3,118.8732833,98.46428333,107.9997321,91.6020255,1.000383185,1.095148917,122.454,6.679716667,54.29721186,43.8184275,747.8333333,729.8166667,740.4804783,724.2484696,1.08890608,1.017339243,252.7,235.3166667,103.5224399,89.47786349,171.3333333,162.6666667,167.393933,157.9655939,1.076242701,1.039340919,87,41.16666667,35.74290916,39.43207944,10415.0,7727.166667,7992.730799,6336.022548,0.837974956,1.041159661,16978.0,2084.333333,7810.653793,6148.82681,119.4666667,105.0833333,91.85426438,83.94704415,0.895887121,0.913056927,175.7,49.88333333,71.7329461,60.56177058,21.06666667,23.03333333,19.35473914,20.90997481,1.018632375,0.83285906,20.4,12.56666667,8.362349484,9.223460426,49.33333333,47.5,41.68241183,40.52922729,0.966971923,0.890107558,54.0,24.33333333,23.29997616,21.914607,4.333333333,4.0,4.160167646,3.888322594,1.057905425,1.039720771,3,1.0,1.247219129,1.0
3.616,3,126.6971567,113.7019988,125.2977046,112.3873505,1.087973663,0.757267991,39.046,65.04473333,18.12787384,17.86499345,597.1666667,653.8833333,592.1037914,648.6946734,1.089885593,0.643637856,170.2,464.5316667,79.99838887,79.78531437,186.0,183.5,185.8697782,183.3343419,1.097910551,0.717050038,17,115.5833333,6.976149845,7.879297769,8401.666667,10304.38333,7981.928206,9811.230127,1.045488578,0.542040109,6224.0,8135.183333,2814.778183,2922.022052,67.93333333,85.06666667,63.99339938,80.62762055,1.036523593,0.532151434,53.3,67.675,24.66797294,25.07998316,12.5,19.22,9.620820696,16.04794034,0.840170381,0.36307773,20.2,17.04166667,9.339521758,9.164656749,48.0,84.3,25.7932318,57.04611902,0.565506364,0.210462783,109.0,79.81666667,50.91823511,50.48805139,4.333333333,5.016666667,4.160167646,4.785091324,1.057905425,0.553115443,3,3.933333333,1.247219129,1.39632454
3.68,2,161.009,118.51328,154.2410114,117.5615135,0.651411872,0.25346584,92.382,101.93728,46.191,18.10310091,636.6,564.288,631.7290558,563.5674884,0.685505469,0.200563938,157.2,507.072,78.6,30.80478301,155.0,155.92,154.9967742,155.9195035,0.693126369,0.166375593,2,143.6,1.0,0.391918359,9325.0,7471.2,9104.691099,7439.524941,0.669615478,0.228925256,4030.0,6564.0,2015.0,789.7154931,33.5,30.648,33.35625878,30.62653634,0.688859472,0.191890678,6.2,27.72,3.1,1.214946912,4.015,3.3204,3.94337419,3.31001248,0.67536105,0.219928926,1.51,2.9388,0.755,0.295898361,58.5,80.12,53.57238094,79.25451635,0.610138376,0.088037582,47.0,77.32,23.5,9.210081433,3.5,3.04,3.464101615,3.034721239,0.682908105,0.206192051,1,2.72,0.5,0.195959179
3.7,2,152.4702,180.7253,141.6112961,172.0290246,0.622797624,0.391567778,113.0204,132.7453,56.5102,48.93926877,693.85,698.375,693.7909772,698.3306365,0.693062116,0.556933196,18.1,355.975,9.05,7.837529904,166.5,154.75,164.8332491,153.5290025,0.683153433,0.616635819,47,59.75,23.5,20.35159699,10030.0,9905.0,10026.88386,9902.672578,0.692836515,0.572496492,500.0,4765.0,250.0,216.5063509,83.05,87.875,82.48745359,87.44476513,0.686381261,0.512388185,19.3,51.175,9.65,8.357145147,23.45,17.175,19.80908882,14.69418484,0.542171275,0.691993059,25.1,0.825,12.55,10.86861882,73.5,40.75,33.346664,16.33319663,0.211334566,0.417890271,131.0,28.75,65.5,56.72466395,5.5,5.25,5.477225575,5.233175697,0.689009238,0.598269589,1,2.25,0.5,0.433012702
3.7,6,82.3181122,93.40615432,53.06978736,63.95576551,1.427748967,1.345633214,192.981,40.19614,70.93385834,71.9360706,1029.416667,938.334,961.116526,883.1219112,1.725172588,1.758838577,1138.9,131.54,378.0763477,335.5302893,103.0,113.96,89.20097656,101.6393219,1.658474605,1.559536427,153,34.8,53.33229166,51.27102886,3784.6875,4426.9525,333.5035139,941.1235806,1.258252513,1.260023531,9778.571,1955.8571,3524.744082,3424.04162,168.7,155.44,142.9438484,131.6643004,1.647411121,1.66340695,280.0,38.46,89.79272428,82.808601,4.135333333,4.7674,1.82566969,2.616978219,1.31694505,1.285036523,10.678,2.1578,3.833273043,3.7904461,3.62988,4.337828,0.448715304,0.757690085,0.825641308,0.810547393,12.97342,2.597342,5.070465559,5.276053982,3.833333333,4.3,3.203100948,3.77208744,1.647214459,1.545299789,5,1.34,1.950783318,1.791647287
